fullConnected,relu,MNIST,64,probOut,1,0.5,256,None,0.0366,[0.034499999999999975, 0.035000000000000031, 0.036699999999999955, 0.036000000000000032, 0.040799999999999947]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,20,0.02758,[0.025499999999999967, 0.028599999999999959, 0.02739999999999998, 0.028800000000000048, 0.027599999999999958]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,20,0.02688,[0.027800000000000047, 0.025399999999999978, 0.026200000000000001, 0.028800000000000048, 0.026200000000000001]
fullConnected,relu,MNIST,64,probOut,8,0.5,256,20,0.03252,[0.03400000000000003, 0.033499999999999974, 0.032800000000000051, 0.032100000000000017, 0.030200000000000005]
fullConnected,relu,MNIST,64,singleOut,1,None,256,None,0.02076,[0.020199999999999996, 0.020299999999999985, 0.019199999999999995, 0.021599999999999953, 0.022499999999999964]
fullConnected,relu,MNIST,64,singleOut,2,None,256,20,0.0193,[0.020199999999999996, 0.017399999999999971, 0.020700000000000052, 0.018800000000000039, 0.019399999999999973]
fullConnected,relu,MNIST,64,singleOut,4,None,256,20,0.01886,[0.01859999999999995, 0.018199999999999994, 0.018100000000000005, 0.020100000000000007, 0.019299999999999984]
fullConnected,relu,MNIST,64,singleOut,8,None,256,20,0.02018,[0.016800000000000037, 0.020100000000000007, 0.022499999999999964, 0.020399999999999974, 0.021100000000000008]
fullConnected,relu,MNIST,128,probOut,1,0.5,256,None,0.024,[0.023900000000000032, 0.023599999999999954, 0.022399999999999975, 0.025000000000000022, 0.025100000000000011]
fullConnected,relu,MNIST,128,probOut,2,0.5,256,20,0.02002,[0.020800000000000041, 0.02090000000000003, 0.01870000000000005, 0.021000000000000019, 0.01870000000000005]
fullConnected,relu,MNIST,128,probOut,4,0.5,256,20,0.01978,[0.020299999999999985, 0.020100000000000007, 0.020499999999999963, 0.020199999999999996, 0.017800000000000038]
fullConnected,relu,MNIST,128,probOut,8,0.5,256,20,0.02674,[0.028000000000000025, 0.026399999999999979, 0.0252, 0.026000000000000023, 0.028100000000000014]
fullConnected,relu,MNIST,128,singleOut,1,None,256,None,0.016,[0.01639999999999997, 0.016299999999999981, 0.014900000000000024, 0.016000000000000014, 0.01639999999999997]
fullConnected,relu,MNIST,128,singleOut,2,None,256,20,0.01544,[0.015199999999999991, 0.01529999999999998, 0.015599999999999947, 0.014700000000000046, 0.01639999999999997]
fullConnected,relu,MNIST,128,singleOut,4,None,256,20,0.01538,[0.014800000000000035, 0.016000000000000014, 0.016299999999999981, 0.015000000000000013, 0.014800000000000035]
fullConnected,relu,MNIST,128,singleOut,8,None,256,20,0.01576,[0.015599999999999947, 0.015800000000000036, 0.016199999999999992, 0.015599999999999947, 0.015599999999999947]
fullConnected,relu,MNIST,256,probOut,1,0.5,256,None,0.01652,[0.015499999999999958, 0.01639999999999997, 0.016199999999999992, 0.016100000000000003, 0.018399999999999972]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,20,0.01448,[0.014000000000000012, 0.014299999999999979, 0.014299999999999979, 0.015399999999999969, 0.014399999999999968]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,20,0.01592,[0.016700000000000048, 0.015499999999999958, 0.016700000000000048, 0.01529999999999998, 0.015399999999999969]
fullConnected,relu,MNIST,256,probOut,8,0.5,256,20,0.02394,[0.023199999999999998, 0.025299999999999989, 0.025599999999999956, 0.022199999999999998, 0.023399999999999976]
fullConnected,relu,MNIST,256,singleOut,1,None,256,None,0.0146,[0.014100000000000001, 0.015499999999999958, 0.015000000000000013, 0.014499999999999957, 0.013900000000000023]
fullConnected,relu,MNIST,256,singleOut,2,None,256,20,0.01384,[0.013800000000000034, 0.013399999999999967, 0.01319999999999999, 0.014100000000000001, 0.014700000000000046]
fullConnected,relu,MNIST,256,singleOut,4,None,256,20,0.0136,[0.013599999999999945, 0.01319999999999999, 0.014399999999999968, 0.013000000000000012, 0.013800000000000034]
fullConnected,relu,MNIST,256,singleOut,8,None,256,20,0.01384,[0.013900000000000023, 0.014800000000000035, 0.013299999999999979, 0.013499999999999956, 0.013700000000000045]
fullConnected,relu,MNIST,512,probOut,1,0.5,256,None,0.01372,[0.01419999999999999, 0.014100000000000001, 0.01419999999999999, 0.013000000000000012, 0.013100000000000001]
fullConnected,relu,MNIST,512,probOut,2,0.5,256,20,0.01336,[0.013000000000000012, 0.01419999999999999, 0.013800000000000034, 0.012299999999999978, 0.013499999999999956]
fullConnected,relu,MNIST,512,probOut,4,0.5,256,20,0.01456,[0.014299999999999979, 0.015599999999999947, 0.013900000000000023, 0.014100000000000001, 0.014900000000000024]
fullConnected,relu,MNIST,512,probOut,8,0.5,256,20,0.02094,[0.020700000000000052, 0.021900000000000031, 0.020299999999999985, 0.021800000000000042, 0.020000000000000018]
fullConnected,relu,MNIST,512,singleOut,1,None,256,None,0.01462,[0.014599999999999946, 0.013800000000000034, 0.014100000000000001, 0.015499999999999958, 0.015100000000000002]
fullConnected,relu,MNIST,512,singleOut,2,None,256,20,0.01376,[0.012900000000000023, 0.012900000000000023, 0.014499999999999957, 0.014399999999999968, 0.014100000000000001]
fullConnected,relu,MNIST,512,singleOut,4,None,256,20,0.01296,[0.013599999999999945, 0.012900000000000023, 0.013000000000000012, 0.012900000000000023, 0.012399999999999967]
fullConnected,relu,MNIST,512,singleOut,8,None,256,20,0.01296,[0.013399999999999967, 0.012700000000000045, 0.01319999999999999, 0.012399999999999967, 0.013100000000000001]
fullConnected,relu,MNIST,1024,probOut,1,0.5,256,None,0.0124,[0.012299999999999978, 0.012399999999999967, 0.012199999999999989, 0.012900000000000023, 0.012199999999999989]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,20,0.01264,[0.012499999999999956, 0.012399999999999967, 0.012399999999999967, 0.01319999999999999, 0.012700000000000045]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,20,0.0148,[0.013800000000000034, 0.015399999999999969, 0.015000000000000013, 0.014599999999999946, 0.015199999999999991]
fullConnected,relu,MNIST,1024,probOut,8,0.5,256,20,0.02058,[0.020199999999999996, 0.01870000000000005, 0.018800000000000039, 0.024299999999999988, 0.02090000000000003]
fullConnected,relu,MNIST,1024,singleOut,1,None,256,None,0.01448,[0.015100000000000002, 0.014700000000000046, 0.014499999999999957, 0.013599999999999945, 0.014499999999999957]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,20,0.01302,[0.013000000000000012, 0.012800000000000034, 0.013000000000000012, 0.013100000000000001, 0.01319999999999999]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,20,0.01314,[0.0121, 0.013000000000000012, 0.013800000000000034, 0.013299999999999979, 0.013499999999999956]
fullConnected,relu,MNIST,1024,singleOut,8,None,256,20,0.01376,[0.013700000000000045, 0.013800000000000034, 0.013700000000000045, 0.013299999999999979, 0.014299999999999979]
