fullConnected,relu,MNIST,64,probOut,2,0.5,256,5,0.0274666666667,[0.02739999999999998, 0.027100000000000013, 0.027900000000000036]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,10,0.0274,[0.027100000000000013, 0.026499999999999968, 0.028599999999999959]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,20,0.0270333333333,[0.028000000000000025, 0.027299999999999991, 0.025800000000000045]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,50,0.0270333333333,[0.026800000000000046, 0.027499999999999969, 0.026800000000000046]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,100,0.0283,[0.028900000000000037, 0.028299999999999992, 0.027699999999999947]
fullConnected,relu,MNIST,64,probOut,2,0.5,256,200,0.0365333333333,[0.033800000000000052, 0.034599999999999964, 0.041200000000000014]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,5,0.0241666666667,[0.025299999999999989, 0.023100000000000009, 0.02410000000000001]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,10,0.0259666666667,[0.024599999999999955, 0.025399999999999978, 0.027900000000000036]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,20,0.0228666666667,[0.02410000000000001, 0.022499999999999964, 0.02200000000000002]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,50,0.0259666666667,[0.02629999999999999, 0.025599999999999956, 0.026000000000000023]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,100,0.0288333333333,[0.028800000000000048, 0.02959999999999996, 0.028100000000000014]
fullConnected,relu,MNIST,64,probOut,4,0.5,256,200,0.0808666666667,[0.070100000000000051, 0.093099999999999961, 0.079400000000000026]
fullConnected,relu,MNIST,64,singleOut,2,None,256,5,0.0206,[0.019599999999999951, 0.021100000000000008, 0.021100000000000008]
fullConnected,relu,MNIST,64,singleOut,2,None,256,10,0.0205,[0.020199999999999996, 0.02090000000000003, 0.020399999999999974]
fullConnected,relu,MNIST,64,singleOut,2,None,256,20,0.0193666666667,[0.019399999999999973, 0.021000000000000019, 0.017700000000000049]
fullConnected,relu,MNIST,64,singleOut,2,None,256,50,0.0195333333333,[0.021299999999999986, 0.019299999999999984, 0.018000000000000016]
fullConnected,relu,MNIST,64,singleOut,2,None,256,100,0.0206,[0.01980000000000004, 0.021100000000000008, 0.02090000000000003]
fullConnected,relu,MNIST,64,singleOut,2,None,256,200,0.0202,[0.019399999999999973, 0.019700000000000051, 0.021499999999999964]
fullConnected,relu,MNIST,64,singleOut,4,None,256,5,0.0192666666667,[0.019399999999999973, 0.019700000000000051, 0.01870000000000005]
fullConnected,relu,MNIST,64,singleOut,4,None,256,10,0.0186333333333,[0.018499999999999961, 0.01870000000000005, 0.01870000000000005]
fullConnected,relu,MNIST,64,singleOut,4,None,256,20,0.0180333333333,[0.01639999999999997, 0.019000000000000017, 0.01870000000000005]
fullConnected,relu,MNIST,64,singleOut,4,None,256,50,0.0196,[0.019100000000000006, 0.019100000000000006, 0.020599999999999952]
fullConnected,relu,MNIST,64,singleOut,4,None,256,100,0.0186333333333,[0.01749999999999996, 0.019299999999999984, 0.019100000000000006]
fullConnected,relu,MNIST,64,singleOut,4,None,256,200,0.0198666666667,[0.01859999999999995, 0.020399999999999974, 0.020599999999999952]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,5,0.0146,[0.014800000000000035, 0.015599999999999947, 0.013399999999999967]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,10,0.0147666666667,[0.015800000000000036, 0.013700000000000045, 0.014800000000000035]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,20,0.0145333333333,[0.01529999999999998, 0.013700000000000045, 0.014599999999999946]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,50,0.0147,[0.014399999999999968, 0.015700000000000047, 0.014000000000000012]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,100,0.0154333333333,[0.015700000000000047, 0.014900000000000024, 0.015700000000000047]
fullConnected,relu,MNIST,256,probOut,2,0.5,256,200,0.0184,[0.019199999999999995, 0.018299999999999983, 0.017700000000000049]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,5,0.0153,[0.015399999999999969, 0.014000000000000012, 0.016499999999999959]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,10,0.0151,[0.014800000000000035, 0.015199999999999991, 0.01529999999999998]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,20,0.0145333333333,[0.013800000000000034, 0.013800000000000034, 0.016000000000000014]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,50,0.0155333333333,[0.01639999999999997, 0.014700000000000046, 0.015499999999999958]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,100,0.0173333333333,[0.017399999999999971, 0.016700000000000048, 0.017900000000000027]
fullConnected,relu,MNIST,256,probOut,4,0.5,256,200,0.049,[0.05479999999999996, 0.046599999999999975, 0.045599999999999974]
fullConnected,relu,MNIST,256,singleOut,2,None,256,5,0.0143333333333,[0.013900000000000023, 0.014700000000000046, 0.014399999999999968]
fullConnected,relu,MNIST,256,singleOut,2,None,256,10,0.0136333333333,[0.013299999999999979, 0.014399999999999968, 0.01319999999999999]
fullConnected,relu,MNIST,256,singleOut,2,None,256,20,0.0144666666667,[0.014399999999999968, 0.014499999999999957, 0.014499999999999957]
fullConnected,relu,MNIST,256,singleOut,2,None,256,50,0.0141333333333,[0.014700000000000046, 0.013800000000000034, 0.013900000000000023]
fullConnected,relu,MNIST,256,singleOut,2,None,256,100,0.0134333333333,[0.014000000000000012, 0.013299999999999979, 0.013000000000000012]
fullConnected,relu,MNIST,256,singleOut,2,None,256,200,0.0135666666667,[0.013000000000000012, 0.013299999999999979, 0.014399999999999968]
fullConnected,relu,MNIST,256,singleOut,4,None,256,5,0.0139,[0.01419999999999999, 0.013599999999999945, 0.013900000000000023]
fullConnected,relu,MNIST,256,singleOut,4,None,256,10,0.0137333333333,[0.012599999999999945, 0.014299999999999979, 0.014299999999999979]
fullConnected,relu,MNIST,256,singleOut,4,None,256,20,0.0142666666667,[0.014700000000000046, 0.013800000000000034, 0.014299999999999979]
fullConnected,relu,MNIST,256,singleOut,4,None,256,50,0.0134333333333,[0.013399999999999967, 0.013800000000000034, 0.013100000000000001]
fullConnected,relu,MNIST,256,singleOut,4,None,256,100,0.0141333333333,[0.014000000000000012, 0.014499999999999957, 0.013900000000000023]
fullConnected,relu,MNIST,256,singleOut,4,None,256,200,0.0130666666667,[0.013299999999999979, 0.013399999999999967, 0.012499999999999956]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,5,0.0125,[0.012199999999999989, 0.013399999999999967, 0.011900000000000022]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,10,0.0125,[0.012900000000000023, 0.0121, 0.012499999999999956]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,20,0.0126333333333,[0.012700000000000045, 0.013100000000000001, 0.0121]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,50,0.0125333333333,[0.012700000000000045, 0.012900000000000023, 0.012000000000000011]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,100,0.0132666666667,[0.013299999999999979, 0.013499999999999956, 0.013000000000000012]
fullConnected,relu,MNIST,1024,probOut,2,0.5,256,200,0.0183333333333,[0.018199999999999994, 0.017700000000000049, 0.019100000000000006]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,5,0.0132333333333,[0.013900000000000023, 0.0121, 0.013700000000000045]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,10,0.0136666666667,[0.014299999999999979, 0.013299999999999979, 0.013399999999999967]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,20,0.0133,[0.012399999999999967, 0.01419999999999999, 0.013299999999999979]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,50,0.0140666666667,[0.01529999999999998, 0.013499999999999956, 0.013399999999999967]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,100,0.0153666666667,[0.014800000000000035, 0.015800000000000036, 0.015499999999999958]
fullConnected,relu,MNIST,1024,probOut,4,0.5,256,200,0.0904666666667,[0.08340000000000003, 0.085999999999999965, 0.10199999999999998]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,5,0.0133,[0.012299999999999978, 0.01419999999999999, 0.013399999999999967]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,10,0.0136333333333,[0.013800000000000034, 0.013599999999999945, 0.013499999999999956]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,20,0.0138,[0.014599999999999946, 0.013900000000000023, 0.012900000000000023]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,50,0.0131,[0.012399999999999967, 0.012800000000000034, 0.014100000000000001]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,100,0.0129666666667,[0.013000000000000012, 0.012700000000000045, 0.01319999999999999]
fullConnected,relu,MNIST,1024,singleOut,2,None,256,200,0.0131333333333,[0.01419999999999999, 0.013499999999999956, 0.011700000000000044]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,5,0.0124,[0.012000000000000011, 0.013399999999999967, 0.011800000000000033]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,10,0.0126333333333,[0.013499999999999956, 0.011700000000000044, 0.012700000000000045]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,20,0.0134,[0.014700000000000046, 0.012800000000000034, 0.012700000000000045]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,50,0.0136,[0.013399999999999967, 0.013800000000000034, 0.013599999999999945]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,100,0.0134333333333,[0.013599999999999945, 0.01319999999999999, 0.013499999999999956]
fullConnected,relu,MNIST,1024,singleOut,4,None,256,200,0.0145333333333,[0.013800000000000034, 0.01529999999999998, 0.014499999999999957]
